color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,Id,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Color,Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0,evil queen|fairy tale|magic|queen|snow white,710,English,USA,PG-13,170000000,2012,17000,2.35,53000
Color,Anthony Russo,576,136,94,2000,Chris Evans,19000,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1,conspiracy|heroism|megalomaniac|super soldier|world domination,742,English,USA,PG-13,170000000,2014,11000,2.35,55000
Color,Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1,arcade|candy|glitch|king|medal,345,English,USA,PG,165000000,2012,931,2.35,40000
Color,David Fincher,362,166,21000,919,Jason Flemyng,11000,127490802,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,Julia Ormond,2,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,822,English,USA,PG-13,150000000,2008,1000,2.35,23000
Color,Kenneth Branagh,516,115,0,12000,Natalie Portman,26000,181015141,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,536314,60059,Anthony Hopkins,1,battle|marvel cinematic universe|scientist|thor|throne,738,English,USA,PG-13,150000000,2011,20000,2.35,63000
Color,Hoyt Yeatman,145,88,12,182,Piper Mackenzie Harris,730,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,33042,2217,Niecy Nash,0,fbi director|guinea pig|household appliance|secret agent|talking mouse,90,English,USA,PG,150000000,2009,607,2.35,0
Color,Jonathan Liebesman,310,99,473,502,Edgar Ramírez,14000,83640426,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,152826,16184,Lily James,0,ares|hades|titan|underworld|zeus,253,English,USA,PG-13,150000000,2012,897,1.85,19000
Color,M. Night Shyamalan,280,103,0,346,Noah Ringer,1000,131564731,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,118951,2857,Aasif Mandvi,0,avatar|fire|kingdom|tribe|water,1382,English,USA,PG,150000000,2010,756,2.35,18000
Black and White,Lee Tamahori,264,133,93,746,Colin Salmon,769,160201106,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,169914,2538,Rick Yune,0,catfight|clinic|colonel|diamond|patricide,1185,English,UK,PG-13,142000000,2002,766,2.35,0
Color,J.J. Abrams,518,127,14000,981,Leonard Nimoy,26000,257704099,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,504419,39284,Bruce Greenwood,0,box office hit|future|lifted by the throat|star trek|vulcan,1559,English,USA,PG-13,150000000,2009,12000,2.35,19000
Color,Mark Osborne,266,92,54,562,Wayne Knight,11000,215395021,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda ,307029,12754,Dan Fogler,0,kung fu|kung fu master|master|panda|snow leopard,360,English,USA,PG,130000000,2008,967,2.35,6000
Color,Steven Spielberg,440,107,14000,845,Mackenzie Crook,2000,77564037,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,177383,4631,Tony Curran,1,captain|morocco|ship|tintin|treasure,447,English,USA,PG,135000000,2011,871,2.35,44000
Color,George Lucas,284,142,0,4000,Christopher Lee,20000,310675583,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,464310,42990,Hayden Christensen,3,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3516,English,USA,PG,115000000,2002,16000,1.78,0
Color,Robert Schwentke,263,119,124,1000,Theo James,14000,129995817,Adventure|Sci-Fi|Thriller,Kate Winslet,Insurgent ,154621,22622,Mekhi Phifer,0,action heroine|falling from height|mind control|trainhopping|truth serum,258,English,USA,PG-13,110000000,2015,5000,2.35,27000
Black and White,Martin Scorsese,267,170,17000,827,Adam Scott,29000,102608827,Biography|Drama,Leonardo DiCaprio,The Aviator ,264318,34582,Frances Conroy,0,1920s|aviation|fight|spruce goose|test flight,799,English,USA,PG-13,110000000,2004,3000,2.35,0
Color,Frank Coraci,188,120,153,447,Steve Coogan,1000,24004159,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,68720,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,191,English,USA,PG,110000000,2004,1000,2.35,0
Color,Spike Jonze,333,101,0,279,Ryan Corr,925,77222184,Adventure|Drama|Family|Fantasy,Catherine O'Hara,Where the Wild Things Are ,87677,1738,Max Records,0,based on children's book|creature|igloo|imagination|king,388,English,Germany,PG,100000000,2009,468,2.35,11000
Color,Martin Scorsese,606,240,17000,4000,Matthew McConaughey,29000,116866727,Biography|Comedy|Crime|Drama,Leonardo DiCaprio,The Wolf of Wall Street ,780588,46057,Jon Favreau,3,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,1138,English,USA,R,100000000,2013,11000,2.35,138000
Color,Andrew Stanton,301,100,475,799,Stephen Root,1000,380838870,Adventure|Animation|Comedy|Family,Alexander Gould,Finding Nemo ,692482,5641,Brad Garrett,0,great barrier reef|protective father|separation from family|shark|short term memory loss,866,English,USA,G,94000000,2003,939,1.85,11000
Color,Tony Scott,316,98,12000,1000,Rosario Dawson,18000,81557479,Action|Thriller,Denzel Washington,Unstoppable ,149947,25780,Ethan Suplee,1,freight train|race against time|runaway train|train|train engineer,326,English,USA,PG-13,100000000,2010,3000,2.35,18000
Color,McG,181,94,368,466,LL Cool J,13000,125305545,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,Charlie's Angels ,145350,15419,Kelly Lynch,0,booty shake|box office hit|duct tape over mouth|first part|martial arts,643,English,USA,PG-13,92000000,2000,1000,2.35,0
Color,Ben Stiller,308,121,0,918,Steve Coogan,21000,110416702,Action|Comedy,Robert Downey Jr.,Tropic Thunder ,307539,23484,Brandon T. Jackson,3,film director|parody|spoof|vietnam|written and directed by cast member,577,English,USA,R,92000000,2008,1000,2.35,0
Color,Walt Becker,70,92,12,1000,Joshua Mikel,35000,85884815,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,Alvin and the Chipmunks: The Road Chip ,9418,38450,Jesse McCartney,0,chipmunk|highway travel|on the road|plane|road movie,53,English,USA,PG,90000000,2015,1000,1.85,0
Color,Chris Columbus,253,106,0,1000,Adam Sandler,22000,78747585,Action|Animation|Comedy|Sci-Fi,Peter Dinklage,Pixels ,89770,35367,Josh Gad,0,alien|arcade game|chase|driving in reverse|video gamer,342,English,USA,PG-13,88000000,2015,11000,2.35,39000
Color,John Milius,166,129,468,183,Mako,919,37567440,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,2024,Sandahl Bergman,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,337,English,USA,R,20000000,1982,691,2.35,0
Color,Steven Soderbergh,186,116,0,471,Bernie Mac,11000,183405771,Crime|Thriller,Brad Pitt,Ocean's Eleven ,402645,13028,Elliott Gould,4,card dealer|casino|criminal mastermind|recruiting|ulcer,845,English,USA,PG-13,85000000,2001,1000,2.35,0
Color,Kevin Lima,222,107,36,118,Teala Dunn,283,127706877,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,Enchanted ,142496,662,Fred Tatasciore,2,fairy tale|lawyer|love|new york|prince,399,English,USA,PG,85000000,2007,142,2.35,0
Color,Bob Fosse,84,123,189,87,Ben Vereen,813,NA,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,19228,1476,Max Wright,0,dancer|editing|stand up comedian|surgery|vomiting,146,English,USA,R,NA,1979,388,1.85,0
Color,Raja Gosnell,138,86,67,271,Linda Cardellini,4000,153288182,Adventure|Comedy|Mystery,Sarah Michelle Gellar,Scooby-Doo ,71424,6355,Miguel A. Núñez Jr.,3,amusement park|island|motorcycle|scooby doo|tough girl,521,English,USA,PG,84000000,2002,2000,1.85,0
Color,Roger Spottiswoode,170,123,55,956,Michael Rapaport,3000,34543701,Action|Mystery|Sci-Fi|Thriller,Robert Duvall,The 6th Day ,100001,5839,Tony Goldwyn,1,clone|cloning|future|laser gun|murder,289,English,USA,PG-13,82000000,2000,975,2.35,0
Color,Jan de Bont,167,113,101,913,Lili Taylor,14000,91188905,Fantasy|Horror|Mystery|Thriller,Liam Neeson,The Haunting ,58184,17786,Virginia Madsen,0,greenhouse|haunted house|horror movie remake|mansion|old house,805,English,USA,PG-13,80000000,1999,960,2.35,0
Color,Stephen Hopkins,102,130,81,427,William Hurt,10000,69102910,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,Lost in Space ,58402,12186,June Lockhart,0,based on tv series|remake|robot|scientist|spaceship,370,English,USA,PG-13,80000000,1998,882,2.35,0
Color,Henry Jaglom,19,117,69,87,Stephen Dillane,898,821997,Drama|Romance,Vanessa Redgrave,Déjà Vu ,666,1753,Michael Brandon,0,american|love|pin|ruby|stranger,40,English,USA,PG-13,NA,1997,577,1.85,91
Color,Genndy Tartakovsky,152,89,266,859,Adam Sandler,12000,169692572,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania 2 ,56501,26839,Fran Drescher,0,california|dracula|hotel|transylvania|vampire,97,English,USA,PG,80000000,2015,11000,1.85,16000
Color,Dominic Sena,166,99,57,820,Don Cheadle,20000,69772969,Action|Crime|Thriller,Hugh Jackman,Swordfish ,155532,25942,Sam Shepard,4,computer|secret agent|terrorism|told in flashback|wearing a sound wire,543,English,USA,R,80000000,2001,3000,2.35,0
Color,Vincent Ward,121,113,25,129,Annabella Sciorra,49000,55350897,Drama|Fantasy|Romance,Robin Williams,What Dreams May Come ,83560,49631,Rosalind Chao,1,heaven|hell|soul|soul mate|suicide,619,English,USA,PG-13,85000000,1998,448,2.35,32000
Color,Rob Cohen,61,114,357,366,Viggo Mortensen,13000,32885565,Action|Adventure|Drama|Thriller,Sylvester Stallone,Daylight ,53132,25126,Amy Brenneman,0,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,101,English,USA,PG-13,80000000,1996,10000,1.85,0
Black and White,Rob Marshall,205,118,252,30,Elio Germano,529,19673424,Drama|Musical|Romance,Fergie,Nine ,37446,619,Andrea Di Stefano,4,based on stage musical based on film|child abuse|film director|italian|mistress,232,English,USA,PG-13,80000000,2009,48,2.35,0
Color,Jacques Perrin,113,104,63,7,Jacques Perrin,67,19406406,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,7630,152,Rie Miyazawa,0,damselfish|ocean habitat|ocean life|razorfish|spider crab,42,French,France,G,40000000,2009,63,2.35,0
Color,Roland Emmerich,185,154,776,933,Adam Baldwin,10000,306124059,Action|Adventure|Sci-Fi,Will Smith,Independence Day ,430055,16785,Mary McDonnell,0,alien|area 51|military|spacecraft|spaceship,856,English,USA,PG-13,75000000,1996,2000,2.35,16000
Color,Carlos Saldanha,164,115,107,241,Ray Romano,835,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,194249,1815,Jay Leno,0,flood|mammoth|no opening credits|squirrel|valley,253,English,USA,PG,80000000,2006,590,1.85,0
Color,Bibo Bergeron,143,90,10,11000,Martin Scorsese,22000,160762022,Adventure|Animation|Comedy|Family,Robert De Niro,Shark Tale ,132415,63165,Angelina Jolie Pitt,0,anchor|fish|mobster|shark|vegetarian,288,English,USA,PG,75000000,2004,17000,1.85,0
Color,Brian De Palma,117,98,0,697,Mike Starr,12000,55585389,Crime|Mystery|Thriller,Nicolas Cage,Snake Eyes ,64121,15269,John Heard,1,assassination|boxing|casino|conspiracy|long take,241,English,USA,R,69000000,1998,854,2.35,880
Color,Mel Gibson,132,178,0,403,Patrick McGoohan,906,75600000,Biography|Drama|History|War,Mhairi Calvey,Braveheart ,736638,1976,James Robinson,1,14th century|legend|revolt|scotland|tyranny,1065,English,USA,R,72000000,1995,466,2.35,17000
Color,David Silverman,299,87,30,433,Yeardley Smith,745,183132370,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie ,259083,3086,Marcia Wallace,0,alaska|dome|lake|pig|the simpsons,763,English,USA,PG-13,75000000,2007,440,2.35,0
Color,M. Night Shyamalan,208,106,0,242,Merritt Wever,710,227965690,Drama|Sci-Fi|Thriller,Rory Culkin,Signs ,271592,1675,Cherry Jones,0,crop circle|faith|farm|glass of water|loss of faith,2335,English,USA,PG-13,72000000,2002,529,1.85,0
Color,Andrew Adamson,205,93,80,48,Jennifer Saunders,692,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,Rupert Everett,Shrek 2 ,314630,1148,Conrad Vernon,1,drag queen|physical appearance|princess|queen|sequel,483,English,USA,PG,150000000,2004,309,1.85,0
Color,Jean-Jacques Annaud,76,136,218,400,Mako,11000,37901509,Adventure|Biography|Drama|History|War,Brad Pitt,Seven Years in Tibet ,96385,12226,Victor Wong,1,austria|dalai lama|himalaya|mountain|tibet,119,English,USA,PG-13,70000000,1997,691,2.35,0
Color,Adam Shankman,360,136,163,66,Shane Hartline,394,38509342,Comedy|Drama|Musical|Romance,James Martin Kelly,Rock of Ages ,61995,712,Celina Beach,7,concert|love|music industry|panties|pole dancer,356,English,USA,PG-13,75000000,2012,217,2.35,33000
Color,Bobby Farrelly,81,95,101,443,Brandy Norwood,2000,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,Ron Howard,Osmosis Jones ,25572,3734,David Hyde Pierce,0,blood|body|egg|virus|white blood cell,123,English,USA,PG,70000000,2001,509,2.35,2000
Color,Will Finn,51,88,6,854,Oliver Platt,2000,8460990,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Legends of Oz: Dorothy's Return ,5116,6946,Jim Belushi,1,jester|kansas|oz|princess|tornado,54,English,USA,PG,70000000,2013,1000,NA,5000
Color,Michael Caton-Jones,159,116,105,246,Indira Varma,844,5851188,Crime|Mystery|Thriller,Charlotte Rampling,Basic Instinct 2 ,31124,1899,Neil Maskell,1,drugs|murder|psychiatrist|scotland yard|sex,313,English,UK,R,70000000,2006,729,2.35,764
Color,Kinka Usher,125,121,18,776,Wes Studi,1000,29655590,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Mystery Men ,53970,3986,Eddie Izzard,4,bowling|rajah|sphinx|spleen|superhero,435,English,USA,PG-13,65000000,1999,855,1.85,0
Color,Nancy Meyers,149,127,278,912,Lisa Edelstein,2000,182805123,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,158864,5838,Loretta Devine,1,advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,395,English,USA,PG-13,70000000,2000,955,1.37,0
Color,Renny Harlin,74,124,212,369,Leon,13000,84049211,Action|Adventure|Thriller,Sylvester Stallone,Cliffhanger ,96096,15229,Janine Turner,1,money|mountain|rocky mountains|snow|suitcase,172,English,USA,R,70000000,1993,730,2.35,0
Color,McG,241,103,368,520,Abigail Spencer,27000,54758461,Action|Comedy|Romance,Tom Hardy,This Means War ,147641,29808,Warren Christie,3,best friend|cia|cia agent|dating|undercover,238,English,USA,PG-13,65000000,2012,1000,2.35,18000
Color,David Bowers,138,94,42,668,Charlize Theron,12000,19548064,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,Astro Boy ,25681,23365,Dee Bradley Baker,1,betrayal|futuristic|gladiator|robot|scientist,77,English,Hong Kong,PG,65000000,2009,9000,2.35,0
Color,Rob Reiner,75,114,0,452,Samantha Mathis,524,65000000,Comedy|Drama|Romance,Shawna Waldron,The American President ,43027,2668,Wendie Malick,0,lobbyist|president|senator|state dinner|widower,214,English,USA,PG-13,62000000,1995,517,2.35,0
Color,Tim Hill,156,95,25,439,Elizabeth Perkins,989,108012170,Adventure|Animation|Comedy|Family|Fantasy,Gary Cole,Hop ,24089,2558,Chelsea Handler,0,drummer|easter|easter bunny|piaggio vespa gtv 250|slacker,82,English,USA,PG,63000000,2011,664,1.85,0
Color,Baltasar Kormákur,265,109,175,459,Patrick Fischler,18000,75573300,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns ,156898,20148,Fred Ward,1,close up of breasts|female nudity|fugitive|money|undercover,172,English,USA,R,61000000,2013,497,2.35,22000
Color,Brett Ratner,121,125,420,627,Don Cheadle,12000,75764085,Comedy|Drama|Fantasy|Romance,Nicolas Cage,The Family Man ,85844,16646,Amber Valletta,1,bowling|christmas|parallel universe|salesman|unfaithfulness,322,English,USA,PG-13,60000000,2000,3000,2.35,0
Color,Robert Schwentke,315,111,124,357,Morgan Freeman,13000,90356857,Action|Comedy|Crime|Thriller,Bruce Willis,RED ,238916,24928,Jaqueline Fleming,4,cia|female assassin|interrogation|office cubicle|spy,328,English,USA,PG-13,58000000,2010,11000,2.35,32000
Color,Robert Redford,96,170,0,380,Kristin Scott Thomas,19000,75370763,Drama|Romance|Western,Scarlett Johansson,The Horse Whisperer ,32353,20683,Jessalyn Gilsig,0,grace|groom|horse|montana|western u.s.,263,English,USA,PG-13,60000000,1998,1000,1.85,0
Color,Christopher McQuarrie,387,130,188,1000,Robert Duvall,10000,80033643,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226570,16385,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,448,English,USA,PG-13,60000000,2012,3000,2.35,38000
Color,Steven Soderbergh,436,106,0,175,Monique Gabriela Curnen,13000,75638743,Drama|Thriller,Matt Damon,Contagion ,180479,13634,Griffin Kane,4,contagion|cure|infection|panic|virus,411,English,USA,PG-13,60000000,2011,240,1.85,42000
Color,Ruben Fleischer,415,113,181,300,Brandon Molale,33000,45996718,Action|Crime|Drama|Thriller,Ryan Gosling,Gangster Squad ,173530,34738,Wade Williams,3,good versus evil|machine gun|mobster|police vigilantism|year 1949,264,English,USA,R,60000000,2013,301,2.35,40000
Color,Kevin Macdonald,252,127,162,379,Harry Lennix,18000,36965395,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play ,113295,19776,Michael Weston,3,congressman|conspiracy|newspaper|political conspiracy|subway,235,English,USA,PG-13,NA,2009,748,2.35,0
Color,Clark Johnson,161,107,69,206,David Rasche,310,36279230,Action|Crime|Thriller,Blair Brown,The Sentinel ,42144,1352,Martin Donovan,0,first lady|framed|investigation|president|secret service,213,English,USA,PG-13,60000000,2006,219,2.35,690
Color,Mark Waters,189,94,70,497,Ophelia Lovibond,1000,68218041,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,67191,2820,Philip Baker Hall,1,father|penguin|snowglobe|son|winter,108,English,USA,PG,55000000,2011,549,1.85,14000
Color,John Frankenheimer,149,122,287,135,Natascha McElhone,22000,41609593,Action|Adventure|Crime|Thriller,Robert De Niro,Ronin ,145422,24270,Michael Lonsdale,2,case|ex kgb|ronin|russian|suitcase,572,English,UK,R,55000000,1998,2000,2.35,0
Color,Clint Eastwood,264,141,16000,539,Michael Kelly,11000,35707327,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Changeling ,199056,12840,Colm Feore,0,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,387,English,USA,R,55000000,2008,963,2.35,14000
Color,Robert Butler,44,100,0,745,Lauren Holly,995,11466088,Action|Thriller,Hector Elizondo,Turbulence ,8983,3952,Jeffrey DeMunn,0,airplane|christmas|marshal|pilot|u.s. marshal,84,English,USA,R,71000000,1997,879,2.35,316
Color,Walter Hill,279,92,394,565,Jason Momoa,13000,9483821,Action|Thriller,Sylvester Stallone,Bullet to the Head ,39247,25418,Jon Seda,3,bar|bullet|corruption|detective|lawyer,131,English,USA,R,55000000,2012,11000,1.85,10000
Color,Francis Ford Coppola,110,170,0,889,Joe Mantegna,14000,66676062,Crime|Drama,Al Pacino,The Godfather: Part III ,267980,16949,Bridget Fonda,1,1970s|family relationships|mob hit|opera|repeating history,545,English,USA,R,54000000,1990,1000,1.85,0
Color,Peyton Reed,183,106,235,931,John Michael Higgins,4000,118683135,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,102167,8315,Ann-Margret,1,art|break up|football video game|kitchen|talking to one's self in a mirror,483,English,USA,PG-13,52000000,2006,957,1.85,0
Color,Martin Scorsese,133,178,17000,574,Don Rickles,22000,42438300,Biography|Crime|Drama,Robert De Niro,Casino ,333542,24183,Kevin Pollak,2,car bomb|card cheat|cash|casino|gambling syndicate,533,English,USA,R,52000000,1995,721,2.35,11000
Color,J.J. Abrams,539,112,14000,417,AJ Michalka,1000,126975169,Mystery|Sci-Fi|Thriller,Joel Courtney,Super 8 ,287822,3388,Zach Mills,0,deputy|group of friends|time|train|train crash,849,English,USA,PG-13,50000000,2011,560,2.35,37000
Color,Sean Anders,145,96,51,322,Linda Cardellini,8000,150315155,Comedy|Family,Will Ferrell,Daddy's Home ,54010,10886,Mark L. Young,2,biological father|dad|drinking|product placement|wilhelm scream,130,English,USA,PG-13,50000000,2015,2000,1.85,13000
Color,Glenn Ficarra,310,118,43,7000,Emma Stone,33000,84244877,Comedy|Drama|Romance,Ryan Gosling,"Crazy, Stupid, Love. ",375456,57426,Steve Carell,7,bar|divorce|friend|girl|male objectification,292,English,USA,PG-13,50000000,2011,15000,2.39,44000
Color,Bennett Miller,419,133,152,11000,Robin Wright,22000,75605492,Biography|Drama|Sport,Philip Seymour Hoffman,Moneyball ,283563,53094,Brad Pitt,1,baseball|meeting|statistics|strategy|voice over,312,English,USA,PG-13,50000000,2011,18000,1.85,27000
Color,Wolfgang Petersen,64,127,249,808,Morgan Freeman,18000,67823573,Action|Drama|Thriller,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,3,disease|epidemic|monkey|quarantine|virus,130,English,USA,R,50000000,1995,11000,1.85,0
Color,David Dobkin,276,141,71,3000,Robert Duvall,21000,47105085,Crime|Drama,Robert Downey Jr.,The Judge ,136973,30183,Leighton Meester,1,courtroom|dysfunctional family|indiana|lawyer|trial,275,English,USA,R,50000000,2014,3000,2.35,47000
Color,NA,14,105,NA,5,Bruce Alexander,325,NA,Crime|Drama|Mystery,David Jason,A Touch of Frost ,4438,344,John Lyons,1,cult tv|death|detective inspector|four word title|internal affairs,33,English,UK,NA,NA,NA,7,1.33,361
Color,Tom Dey,98,87,9,1000,Judy Greer,15000,33643461,Comedy|Family,Emma Stone,Marmaduke ,11257,20061,Steve Coogan,0,dog|great dane|rivalry|talking animal|talking cat,65,English,USA,PG,50000000,2010,2000,2.35,0
Color,NA,4,60,NA,398,Brittany Curran,629,NA,Drama|Mystery|Thriller,Grey Damon,Twisted ,7945,2758,Aaron Hill,2,NA,22,English,USA,NA,NA,NA,512,16,915
Color,Wes Anderson,259,119,0,639,Anjelica Huston,13000,24006726,Adventure|Comedy|Drama,Bill Murray,The Life Aquatic with Steve Zissou ,139535,15757,Matthew Gray Gubler,8,expedition|oceanographer|sea|shark|team,632,English,USA,R,50000000,2004,1000,2.35,0
Color,Roland Joffé,34,135,596,2000,Robert Duvall,10000,10400000,Drama|Romance,Gary Oldman,The Scarlet Letter ,12037,15820,Demi Moore,1,17th century|adultery|letter|pubic hair|swimming,90,English,USA,R,50000000,1995,3000,2.35,943
Color,Tony Scott,186,127,12000,897,Mo'Nique,984,10137232,Action|Biography|Crime|Drama|Thriller,Ian Ziering,Domino ,58015,5702,Edgar Ramírez,0,bounty hunter|fbi|female bounty hunter|female nudity|reality show,374,English,France,R,50000000,2005,940,2.35,0
Color,Danny DeVito,105,109,0,809,Vincent Schiavelli,49000,8355815,Comedy|Crime|Drama|Thriller,Robin Williams,Death to Smoochy ,34730,52885,Danny Woodburn,2,children|children's tv show|money|revenge|scandal,341,English,UK,R,55000000,2002,811,1.85,0
Color,Iain Softley,140,120,34,1000,Jeff Bridges,18000,50173190,Drama|Mystery|Sci-Fi,Kevin Spacey,K-PAX ,148490,33615,Alfre Woodard,1,extraterrestrial|hospital|patient|planet|science,537,English,USA,PG-13,48000000,2001,12000,2.35,0
Color,James Mangold,295,122,446,600,Logan Lerman,23000,53574088,Adventure|Crime|Drama|Western,Christian Bale,3:10 to Yuma ,237872,33548,Gretchen Mol,1,outlaw|rancher|small western town|stagecoach|train,560,English,USA,R,55000000,2007,8000,2.35,0
